accession	gene	function	normal	MMS
YCL048W	SPS22	Protein of unknown function, redundant with Sps2p for the organization of the beta-glucan layer of the spore wall	NA	NA
YCL050C	APA1	Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase I (AP4A phosphorylase), involved in catabolism of bis(5'-nucleosidyl) tetraphosphates	NA	Down
YCL051W	LRE1	Protein involved in control of cell wall structure and stress response	NA	Down
YCL054W	SPB1	AdoMet-dependent methyltransferase involved in rRNA processing and 60S ribosomal subunit maturation	NA	NA
YCL057C-A	YCL057C-A	Putative protein of unknown function	NA	NA
YCL057W	PRD1	Zinc metalloendopeptidase, found in the cytoplasm and intermembrane space of mitochondria	NA	NA
YCL059C	KRR1	Essential nucleolar protein required for the synthesis of 18S rRNA and for the assembly of 40S ribosomal subunit	NA	NA
YCL061C	MRC1	S-phase checkpoint protein required for DNA replication	NA	NA
YCR002C	CDC10	Component of the septin ring of the mother-bud neck that is required for cytokinesis	NA	NA
YCR004C	YCP4	Protein of unknown function, has sequence and structural similarity to flavodoxins	NA	NA
YCR005C	CIT2	Citrate synthase, catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate, peroxisomal isozyme involved in glyoxylate cycle	NA	NA
YCR009C	RVS161	Amphiphysin-like lipid raft protein	NA	NA
YCR011C	ADP1	Putative ATP-dependent permease of the ABC transporter family of proteins	NA	Up
YCR012W	PGK1	3-phosphoglycerate kinase, catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP	NA	Up
YCR016W	YCR016W	Putative protein of unknown function	NA	NA
YCR017C	CWH43	Putative sensor/transporter protein involved in cell wall biogenesis	NA	NA
YCR019W	MAK32	Protein necessary for structural stability of L-A double-stranded RNA-containing particles	NA	NA
YCR026C	NPP1	Nucleotide pyrophosphatase/phosphodiesterase family member	NA	NA
YCR028C-A	RIM1	Single-stranded DNA-binding protein essential for mitochondrial genome maintenance	NA	NA
YCR030C	SYP1	Protein of unknown function that is involved in endocytic site formation	NA	NA
YCR031C	RPS14A	Ribosomal protein 59 of the small subunit, required for ribosome assembly and 20S pre-rRNA processing	NA	NA
YCR032W	BPH1	PProtein homologous to human Chediak-Higashi syndrome and murine Beige proteins, which are implicated in disease syndromes due to defective lysosomal trafficking	NA	NA
YCR033W	SNT1	Subunit of the Set3C deacetylase complex that interacts directly with the Set3C subunit, Sif2p	NA	NA
YCR036W	RBK1	Putative ribokinase	NA	NA
YCR037C	PHO87	Low-affinity inorganic phosphate (Pi) transporter, involved in activation of PHO pathway	NA	NA
YCR042C	TAF2	TFIID subunit (150 kDa), involved in RNA polymerase II transcription initiation	NA	NA
YCR047C	BUD23	Methyltransferase, methylates residue G1575 of 18S rRNA	NA	NA
YCR051W	YCR051W	Putative protein of unknown function	NA	NA
YCR053W	THR4	Threonine synthase, conserved protein that catalyzes formation of threonine from O-phosphohomoserine	Down	Down
YCR054C	CTR86	Essential protein of unknown function	NA	NA
YCR057C	PWP2	Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites	NA	NA
YCR059C	YIH1	Protein that inhibits activation of Gcn2p, an eIF2 alpha subunit protein kinase, by competing for Gcn1p binding, thus impacting gene expression in response to starvation	NA	Up
YCR066W	RAD18	E3 ubiqutin ligase, forms heterodimer with Rad6p to monoubiquitinate PCNA-K164	NA	NA
YCR067C	SED4	Integral endoplasmic reticulum membrane protein, functions as a positive regulator of Sar1p probably through inhibition of GTPase activation by Sec23p	NA	NA
YCR069W	CPR4	Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues	NA	NA
YCR072C	RSA4	WD-repeat protein involved in ribosome biogenesis	NA	NA
YCR073C	SSK22	MAP kinase kinase kinase of the HOG1 mitogen-activated signaling pathway	NA	Up
YCR076C	YCR076C	Putative protein of unknown function	NA	NA
YCR079W	PTC6	Mitochondrial type 2C protein phosphatase (PP2C) with similarity to mammalian PP1Ks	NA	NA
YCR081W	SRB8	Subunit of the RNA polymerase II mediator complex	NA	NA
YCR083W	TRX3	Mitochondrial thioredoxin, highly conserved oxidoreductase required to maintain the redox homeostasis of the cell, forms the mitochondrial thioredoxin system with Trr2p, redox state is maintained by both Trr2p and Glr1p	NA	NA
YCR084C	TUP1	General repressor of transcription, forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4, appears to enhance expression of some genes	NA	NA
YCR088W	ABP1	Actin-binding protein of the cortical actin cytoskeleton, important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization	NA	NA
YCR090C	YCR090C	Putative protein of unknown function	NA	NA
YCR091W	KIN82	Putative serine/threonine protein kinase implicated in the regulation of phospholipid asymmetry through the activation of phospholipid translocases (flippases) Lem3p-Dnf1p/Dnf2p	NA	Up
YCR092C	MSH3	Mismatch repair protein, forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends, contains a PCNA (Pol30p) binding motif required for genome stability	NA	NA
YCR093W	CDC39	Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation	NA	NA
YCR098C	GIT1	Plasma membrane permease, mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate	NA	NA
YCR100C	YCR100C	Putative protein of unknown function	NA	NA
YCR105W	ADH7	NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity	NA	NA
YCR106W	RDS1	Zinc cluster transcription factor involved in conferring resistance to cycloheximide	NA	NA
YDL001W	RMD1	Cytoplasmic protein required for sporulation	NA	NA
YDL004W	ATP16	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis	NA	NA
YDL007W	RPT2	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates	NA	NA
YDL010W	GRX6	Cis-golgi localized monothiol glutaredoxin that binds an iron-sulfur cluster	NA	NA
YDL014W	NOP1	Nucleolar protein, component of the small subunit processome complex, which is required for processing of pre-18S rRNA	NA	NA
YDL015C	TSC13	Enoyl reductase that catalyzes the last step in each cycle of very long chain fatty acid elongation, localizes to the ER, highly enriched in a structure marking nuclear-vacuolar junctions, coimmunoprecipitates with elongases Fen1p and Sur4p	NA	NA
YDL019C	OSH2	Member of an oxysterol-binding protein family with seven members in S. cerevisiae	NA	NA
YDL021W	GPM2	Homolog of Gpm1p phosphoglycerate mutase, which converts 3-phosphoglycerate to 2-phosphoglycerate in glycolysis	NA	NA
YDL022W	GPD1	NAD-dependent glycerol-3-phosphate dehydrogenase, key enzyme of glycerol synthesis, essential for growth under osmotic stress	Up	NA
YDL025C	RTK1	Putative protein kinase, potentially phosphorylated by Cdc28p	NA	NA
YDL027C	YDL027C	Putative protein of unknown function	NA	Down
YDL028C	MPS1	Dual-specificity kinase required for spindle pole body (SPB) duplication and spindle checkpoint function	NA	NA
YDL029W	ARP2	Essential component of the Arp2/3 complex, which is a highly conserved actin nucleation center required for the motility and integrity of actin patches	NA	NA
YDL031W	DBP10	Putative ATP-dependent RNA helicase of the DEAD-box protein family, constituent of 66S pre-ribosomal particles	NA	NA
YDL040C	NAT1	Subunit of the N-terminal acetyltransferase NatA (Nat1p, Ard1p, Nat5p)	NA	Down
YDL042C	SIR2	Conserved NAD+ dependent histone deacetylase of the Sirtuin family involved in regulation of lifespan	NA	NA
YDL043C	PRP11	Subunit of the SF3a splicing factor complex, required for spliceosome assembly	NA	NA
YDL049C	KNH1	Protein with similarity to Kre9p, which is involved in cell wall beta 1,6-glucan synthesis	NA	NA
YDL055C	PSA1	GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis	Up	Up
YDL056W	MBP1	Transcription factor involved in regulation of cell cycle progression from G1 to S phase, forms a complex with Swi6p that binds to MluI cell cycle box regulatory element in promoters of DNA synthesis genes	NA	NA
YDL059C	RAD59	Protein involved in the repair of double-strand breaks in DNA during vegetative growth via recombination and single-strand annealing	NA	NA
YDL060W	TSR1	Protein required for processing of 20S pre-rRNA in the cytoplasm, associates with pre-40S ribosomal particles	NA	NA
YDL061C	RPS29B	Protein component of the small (40S) ribosomal subunit	NA	NA
YDL066W	IDP1	Mitochondrial NADP-specific isocitrate dehydrogenase, catalyzes the oxidation of isocitrate to alpha-ketoglutarate	Down	NA
YDL067C	COX9	Subunit VIIa of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain	NA	NA
YDL073W	YDL073W	Putative protein of unknown function	NA	NA
YDL074C	BRE1	E3 ubiquitin ligase, forms heterodimer with Rad6p to monoubiquinate histone H2B-K123, which is required for the subsequent methylation of histone H3-K4 and H3-K79	NA	NA
YDL075W	RPL31A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl31Bp and has similarity to rat L31 ribosomal protein	Down	Down
YDL077C	VAM6	Vacuolar protein that plays a critical role in the tethering steps of vacuolar membrane fusion by facilitating guanine nucleotide exchange on small guanosine triphosphatase Ypt7p	NA	NA
YDL078C	MDH3	Peroxisomal malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate	NA	NA
YDL081C	RPP1A	Ribosomal stalk protein P1 alpha, involved in the interaction between translational elongation factors and the ribosome	NA	Down
YDL082W	RPL13A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl13Bp	NA	NA
YDL083C	RPS16B	Protein component of the small (40S) ribosomal subunit	Down	Down
YDL084W	SUB2	Component of the TREX complex required for nuclear mRNA export	NA	NA
YDL087C	LUC7	Essential protein associated with the U1 snRNP complex	NA	NA
YDL088C	ASM4	Nuclear pore complex subunit, part of a subcomplex also containing Nup53p, Nup170p, and Pse1p	NA	NA
YDL097C	RPN6	Essential, non-ATPase regulatory subunit of the 26S proteasome lid required for the assembly and activity of the 26S proteasome	NA	NA
YDL100C	GET3	Guanine nucleotide exchange factor for Gpa1p	Down	NA
YDL101C	DUN1	Cell-cycle checkpoint serine-threonine kinase required for DNA damage-induced transcription of certain target genes, phosphorylation of Rad55p and Sml1p, and transient G2/M arrest after DNA damage	NA	NA
YDL102W	POL3	Catalytic subunit of DNA polymerase delta	NA	NA
YDL103C	QRI1	UDP-N-acetylglucosamine pyrophosphorylase, catalyzes the formation of UDP-N-acetylglucosamine (UDP-GlcNAc), which is important in cell wall biosynthesis, protein N-glycosylation, and GPI anchor biosynthesis	NA	NA
YDL105W	NSE4	Nuclear protein that plays a role in the function of the Smc5p-Rhc18p complex	NA	NA
YDL106C	PHO2	Homeobox transcription factor	NA	NA
YDL109C	YDL109C	Putative lipase	NA	NA
YDL112W	TRM3	2'-O-ribose methyltransferase, catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs	NA	NA
YDL113C	ATG20	Sorting nexin family member required for the cytoplasm-to-vacuole targeting (Cvt) pathway and for endosomal sorting	NA	NA
YDL114W	YDL114W	Putative protein of unknown function with similarity to acyl-carrier-protein reductases	NA	NA
YDL117W	CYK3	SH3-domain protein located in the mother-bud neck and the cytokinetic actin ring	NA	NA
YDL122W	UBP1	Ubiquitin-specific protease that removes ubiquitin from ubiquitinated proteins	NA	NA
YDL124W	YDL124W	NADPH-dependent alpha-keto amide reductase	Up	Up
YDL125C	HNT1	Adenosine 5'-monophosphoramidase	NA	Down
YDL126C	CDC48	ATPase in ER, nuclear membrane and cytosol with homology to mammalian p97	NA	NA
YDL128W	VCX1	Vacuolar membrane antiporter with Ca2+/H+ and K+/H+ exchange activity, involved in control of cytosolic Ca2+ and K+ concentrations	NA	NA
YDL129W	YDL129W	Putative protein of unknown function	NA	NA
YDL130W	RPP1B	Ribosomal protein P1 beta, component of the ribosomal stalk, which is involved in interaction of translational elongation factors with ribosome	NA	Down
YDL131W	LYS21	Homocitrate synthase isozyme, catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway	NA	NA
YDL132W	CDC53	Cullin, structural protein of SCF complexes (which also contain Skp1p, Cdc34p, Hrt1p and an F-box protein) involved in ubiquitination	NA	NA
YDL135C	RDI1	Rho GDP dissociation inhibitor involved in the localization and regulation of Cdc42p	NA	NA
YDL136W	RPL35B	Protein component of the large (60S) ribosomal subunit, identical to Rpl35Ap and has similarity to rat L35 ribosomal protein	Down	Up
YDL137W	ARF2	ADP-ribosylation factor, GTPase of the Ras superfamily involved in regulation of coated formation vesicles in intracellular trafficking within the Golgi	Down	Down
YDL140C	RPO21	RNA polymerase II largest subunit B220, part of central core	NA	NA
YDL141W	BPL1	Biotin:apoprotein ligase, covalently modifies proteins with the addition of biotin, required for acetyl-CoA carboxylase (Acc1p) holoenzyme formation	NA	NA
YDL143W	CCT4	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	NA	NA
YDL145C	COP1	Alpha subunit of COPI vesicle coatomer complex, which surrounds transport vesicles in the early secretory pathway	NA	NA
YDL147W	RPN5	Essential, non-ATPase regulatory subunit of the 26S proteasome lid, similar to mammalian p55 subunit and to another S. cerevisiae regulatory subunit, Rpn7p	NA	NA
YDL154W	MSH5	Protein of the MutS family, forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis	NA	NA
YDL156W	YDL156W	Putative protein of unknown function	NA	NA
YDL160C	DHH1	Cytoplasmic DExD/H-box helicase, stimulates mRNA decapping, coordinates distinct steps in mRNA function and decay, interacts with both the decapping and deadenylase complexes, may have a role in mRNA export and translation	Down	NA
YDL164C	CDC9	DNA ligase found in the nucleus and mitochondria, an essential enzyme that joins Okazaki fragments during DNA replication	NA	NA
YDL165W	CDC36	Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation	NA	NA
YDL168W	SFA1	Bifunctional enzyme containing both alcohol dehydrogenase and glutathione-dependent formaldehyde dehydrogenase activities, functions in formaldehyde detoxification and formation of long chain and complex alcohols, regulated by Hog1p-Sko1p	NA	NA
YDL171C	GLT1	NAD(+)-dependent glutamate synthase (GOGAT), synthesizes glutamate from glutamine and alpha-ketoglutarate	NA	NA
YDL174C	DLD1	D-lactate dehydrogenase, oxidizes D-lactate to pyruvate, transcription is heme-dependent, repressed by glucose, and derepressed in ethanol or lactate	NA	Up
YDL176W	YDL176W	Protein of unknown function, predicted by computational methods to be involved in fructose-1,6-bisphosphatase (Fbp1p) degradation	NA	NA
